row_index,BX,BY,EX,EY,mode,start_obstime,end_obstime,time_source,time_delta_days,conversion_ok,accepted,reject_reason,effective_b0_deg,effective_b0_source,start_radius_fraction,end_radius_fraction,latitude_deg,delta_lat_deg,cmd_start_deg,cmd_end_deg,abs_cmd_deg,synodic_delta_lon_deg,carrington_delta_lon_deg,synodic_rate_deg_per_day,sidereal_rate_deg_per_day,sidereal_rate_nhz,sidereal_period_days
15,1651.0,998.0,1811.0,1026.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.697265381576971,0.8744472681021755,-3.568030435667871,-0.10172602999751579,44.2652702599344,61.18631604849512,61.18631604849512,16.92104578856072,3.7222959575392345,16.92104578856072,17.906693120659803,575.70386833397,20.104214528848484
16,1631.0,730.0,1727.0,746.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7493906990035881,0.8399684003462552,13.864336036265712,-0.15537277211574896,44.02057714254311,53.54103146814945,53.54103146814945,9.520454325606352,-3.6782955054151323,9.520454325606352,10.506101657705436,337.7733300445421,34.26580207664058
17,1605.0,1359.0,1717.0,1385.0,pooled,,,folder_dates,1.0,True,False,cmd_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7451787423327986,0.8682108749933912,-27.16991503556379,-0.4656191399194718,46.39563849376376,60.14854686899222,60.14854686899222,13.752908375228458,0.5541585442069739,13.752908375228458,14.738555707327542,473.84759861521167,24.42573120112573
18,1594.0,1271.0,1712.0,1287.0,pooled,,,folder_dates,1.0,True,False,cmd_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.69023971502481,0.8183942422833076,-21.25986974629228,0.06533907673752992,42.82277502095428,55.09336302454643,55.09336302454643,12.270588003592138,-0.9281618274293457,12.270588003592138,13.256235335691223,426.1906936629123,27.157031456037323
19,1581.0,1673.0,1590.0,1690.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.9502761132207967,0.9711339941367005,-49.40439508617271,-0.8443088658969415,70.56285161721357,77.1266191643373,77.1266191643373,6.563767547123746,-6.634982283897739,6.563767547123746,7.549414879222829,242.71524174456115,47.685814829275884
20,1574.0,1139.0,1713.0,1131.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.6243267979330087,0.7747321321225872,-12.187958685266405,1.6127302960007786,38.84174803499364,51.34419865951724,51.34419865951724,12.50245062452359,-0.6962992064978941,12.50245062452359,13.488097956622674,433.6451246342167,26.69019762146964
21,1562.0,783.0,1691.0,739.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.6550139005216173,0.8059301810889845,11.854591792755208,4.0430629680918155,37.350576475162136,49.76392530832037,49.76392530832037,12.413348833158238,-0.7854009978632455,12.413348833158238,13.398996165257323,430.7804837081187,26.86768438171923
22,1556.0,1204.0,1707.0,1258.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.6240291224606527,0.8021922124273037,-18.347663689616446,-2.1961183526788055,38.239517453858625,53.59062354580799,53.59062354580799,15.351106091949362,2.1523562609278777,15.351106091949362,16.336753424048446,525.2299840550555,22.036202093254563
23,1555.0,481.0,1685.0,509.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8438667614683677,0.9310461393401763,31.77178491169228,-0.6275280995961623,44.13614940846183,59.4279727475794,59.4279727475794,15.29182333911757,2.0930735080960865,15.29182333911757,16.277470671216655,523.3240313534162,22.116458218326613
24,1548.0,381.0,1642.0,397.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.921636360093781,0.9781899383839293,41.496222221007216,0.3830879123945934,50.80917065092806,66.85353707226913,66.85353707226913,16.044366421341067,2.845616590319583,16.044366421341067,17.03001375344015,547.5184462911571,21.139149105342216
25,1532.0,946.0,1694.0,1004.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.5710592280799853,0.7447760455497286,-2.259870519302986,-2.560348579405095,34.36944961986339,48.23367721611281,48.23367721611281,13.864227596249407,0.6654777652279229,13.864227596249407,14.849874928348491,477.4265344762247,24.242628421924152
26,1494.0,786.0,1669.0,818.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.5853604988212365,0.7523305354482837,8.769260932993484,-0.9385775683591042,31.943670843795857,46.40670761758621,46.40670761758621,14.46303677379035,1.2642869427688659,14.46303677379035,15.448684105889434,496.6783727459309,23.30295561307767
27,1485.0,312.0,1445.0,305.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;cmd_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.9424586967404611,0.9257642821867992,48.07159739509821,0.1902786794397926,49.92078331507605,44.53562886468475,49.92078331507605,-5.385154450391298,-18.58390428141278,-5.385154450391298,-4.399507118292214,-141.44505910147294,-81.82734800068776
28,1474.0,302.0,1460.0,294.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.945283287605975,0.9447685718317411,49.397167121447595,0.7599223289267982,49.67534604215369,48.60681875186798,49.67534604215369,-1.068527290285715,-14.267277121307199,-1.068527290285715,-0.0828799581866313,-2.6646077091895353,-4343.6315350128725
29,1446.0,1346.0,1590.0,1355.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.58979804034522,0.7285339582991734,-26.975954528014007,0.3514288128716885,31.80020912782847,44.79490864680841,44.79490864680841,12.994699518979928,-0.20405031204155577,12.994699518979928,13.980346851079013,449.4710278767687,25.75043407969631
30,1439.0,473.0,1578.0,469.0,pooled,,,folder_dates,1.0,True,False,cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7664460230002107,0.8713130434884391,32.58141707163489,1.59408261403755,32.851290343986705,47.48868727504621,47.48868727504621,14.637396931059499,1.4386471000380148,14.637396931059499,15.623044263158583,502.2840876787096,23.04288421232554
31,1426.0,781.0,1593.0,799.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.5219301783870244,0.6798565571292263,9.110981005464474,-0.27960862290812294,26.90756740079017,39.79569974499869,39.79569974499869,12.888132344208515,-0.3106174868129692,12.888132344208515,13.8737796763076,446.04487128046554,25.948228125229335
